id,name,email,gender,city,state,age,ssn,race,diabetes,asthma,depression,anxiety,migraines,arthritis,eczema,stroke,dementia,HIV
1,Ford Raggatt,fraggatt0@fastcompany.com,Male,Knoxville,Tennessee,78,223-78-0086,White,No,No,No,Yes,No,No,Yes,No,No,No
2,Marcus Whitmore,mwhitmore1@marriott.com,Male,Augusta,Georgia,44,693-32-6505,White,No,Yes,Yes,Yes,No,No,Yes,No,No,No
3,Kellen Bondar,kbondar2@wikia.com,Female,Cedar Rapids,Iowa,60,732-50-7952,Hispanic or Latino,No,Yes,Yes,Yes,No,No,Yes,No,No,No
4,Benny Saffell,bsaffell3@aboutads.info,Female,Baltimore,Maryland,58,781-38-3805,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
5,Lanae Dillimore,ldillimore4@soup.io,Female,Ocala,Florida,29,469-56-3508,Native Hawaiian or Other Pacific Islander,Yes,No,Yes,Yes,No,No,Yes,No,No,No
6,Jessey McIlmurray,jmcilmurray5@google.nl,Male,San Jose,California,42,404-94-9229,Hispanic or Latino,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
7,Cristian Shewen,cshewen6@google.ca,Male,Dallas,Texas,32,755-55-8440,Hispanic or Latino,No,Yes,Yes,Yes,No,No,Yes,No,No,No
8,Carena Huygen,chuygen7@zdnet.com,Female,Palo Alto,California,73,416-79-6758,American Indian or Alaska Native,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
9,Frances Storks,fstorks8@nytimes.com,Female,Lafayette,Indiana,37,626-26-3559,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
10,Gerri Pengilly,gpengilly9@rakuten.co.jp,Female,Canton,Ohio,67,468-09-6601,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
11,Codie Bockings,cbockingsa@aol.com,Female,Ann Arbor,Michigan,56,886-90-4525,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
12,Pammi Breadon,pbreadonb@skyrock.com,Female,Pompano Beach,Florida,50,255-91-7851,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
13,Gabbie Waliszek,gwaliszekc@berkeley.edu,Male,San Francisco,California,22,157-16-9562,Asian,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
14,Portie Corkill,pcorkilld@surveymonkey.com,Male,Orlando,Florida,68,641-57-1574,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
15,Gris Roddick,groddicke@weibo.com,Male,Washington,District of Columbia,30,337-32-0862,Native Hawaiian or Other Pacific Islander,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
16,Jessica Blofeld,jblofeldf@twitter.com,Female,Louisville,Kentucky,81,411-45-9430,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
17,Ursa Willmer,uwillmerg@eepurl.com,Female,Washington,District of Columbia,47,590-35-4117,Native Hawaiian or Other Pacific Islander,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
18,Tally Varsey,tvarseyh@dell.com,Female,Birmingham,Alabama,37,499-97-9169,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
19,Edouard Maurice,emauricei@kickstarter.com,Male,Boulder,Colorado,81,314-60-0339,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
20,Brandy Farran,bfarranj@naver.com,Male,Charleston,West Virginia,83,488-08-8580,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
21,Godfrey Vickery,gvickeryk@businessinsider.com,Male,Saint Louis,Missouri,43,431-71-4843,Native Hawaiian or Other Pacific Islander,No,No,Yes,Yes,Yes,No,Yes,No,No,No
22,Benedicto Vickery,bvickeryl@desdev.cn,Male,Shawnee Mission,Kansas,78,766-46-2072,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
23,Rae Saxby,rsaxbym@cam.ac.uk,Female,Louisville,Kentucky,86,123-27-0173,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
24,Arleyne Smither,asmithern@ftc.gov,Female,Philadelphia,Pennsylvania,29,439-29-1826,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
25,Michaella Swinbourne,mswinbourneo@spiegel.de,Female,Richmond,Virginia,50,726-77-5738,Native Hawaiian or Other Pacific Islander,No,No,Yes,Yes,Yes,No,Yes,No,No,No
26,Lexine Scattergood,lscattergoodp@narod.ru,Female,Hattiesburg,Mississippi,41,630-76-5769,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
27,Arri Jahnisch,ajahnischq@people.com.cn,Male,Salt Lake City,Utah,48,343-42-3230,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
28,Alfredo Spurling,aspurlingr@g.co,Male,Miami,Florida,69,621-94-1785,American Indian or Alaska Native,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
29,Christina Legion,clegions@scribd.com,Female,Washington,District of Columbia,71,694-13-5192,White,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
30,Kinna Ballantine,kballantinet@homestead.com,Female,Salt Lake City,Utah,85,599-89-8386,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
31,Lona Coysh,lcoyshu@google.com.br,Female,Lexington,Kentucky,79,227-08-4238,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
32,Boycie Bainbridge,bbainbridgev@furl.net,Male,Oakland,California,45,194-28-3586,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
33,Raddie Voller,rvollerw@behance.net,Male,West Palm Beach,Florida,43,609-60-5865,Black or African American,No,No,Yes,Yes,Yes,No,Yes,No,No,No
34,Monti Fargie,mfargiex@ow.ly,Male,Los Angeles,California,67,762-74-5982,Native Hawaiian or Other Pacific Islander,No,No,Yes,Yes,Yes,No,Yes,No,No,No
35,Linell Kubat,lkubaty@so-net.ne.jp,Female,Baltimore,Maryland,58,198-33-0734,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
36,Woodie Patershall,wpatershallz@fc2.com,Male,Miami,Florida,75,119-48-3905,Native Hawaiian or Other Pacific Islander,No,No,Yes,Yes,Yes,No,Yes,No,No,No
37,Rivalee Stidston,rstidston10@accuweather.com,Female,Philadelphia,Pennsylvania,74,489-82-3913,Asian,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
38,Ferdy Garard,fgarard11@nps.gov,Male,Boston,Massachusetts,44,515-11-9988,White,No,No,Yes,Yes,Yes,No,Yes,No,No,No
39,Harrison Siberry,hsiberry12@yahoo.com,Male,Charleston,West Virginia,31,648-87-1324,Asian,No,No,Yes,Yes,Yes,No,Yes,No,No,No
40,Bartlet Dart,bdart13@twitpic.com,Male,Bozeman,Montana,39,619-46-6311,Asian,No,No,Yes,Yes,Yes,No,Yes,No,No,No
41,Dex Kilian,dkilian14@ebay.co.uk,Male,Charleston,West Virginia,69,198-69-4425,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
42,Delmar Snazel,dsnazel15@godaddy.com,Male,Reno,Nevada,52,143-70-2182,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
43,Stillman Schruyer,sschruyer16@constantcontact.com,Male,Charleston,South Carolina,35,181-56-0483,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
44,Dorthy Eassom,deassom17@hexun.com,Female,Birmingham,Alabama,49,287-46-8368,Native Hawaiian or Other Pacific Islander,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
45,Spencer Plampin,splampin18@gizmodo.com,Male,Shawnee Mission,Kansas,35,474-83-7534,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
46,Reggie MacMeanma,rmacmeanma19@homestead.com,Male,College Station,Texas,70,156-67-3842,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
47,Loralyn Brim,lbrim1a@dropbox.com,Female,Anchorage,Alaska,21,842-38-9806,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
48,Waite Moorhead,wmoorhead1b@patch.com,Male,Portland,Oregon,45,886-77-4134,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
49,Bartholomeus Drexel,bdrexel1c@nbcnews.com,Male,Berkeley,California,29,338-08-1999,Native Hawaiian or Other Pacific Islander,No,No,Yes,Yes,Yes,No,Yes,No,No,No
50,Cherilynn Edmott,cedmott1d@nydailynews.com,Female,Spartanburg,South Carolina,23,462-44-4643,American Indian or Alaska Native,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
51,Curt Aindrais,caindrais1e@reverbnation.com,Male,Charlotte,North Carolina,52,500-98-9458,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
52,Giavani Mammatt,gmammatt1f@slate.com,Male,Scranton,Pennsylvania,85,669-15-6788,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No
53,Carlynn Latchmore,clatchmore1g@army.mil,Female,Birmingham,Alabama,78,323-57-8637,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
54,Lilly Manon,lmanon1h@w3.org,Female,Greensboro,North Carolina,57,710-43-9873,Hispanic or Latino,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
55,Cullan McGreay,cmcgreay1i@admin.ch,Male,Tampa,Florida,65,120-56-8836,Hispanic or Latino,No,No,Yes,Yes,Yes,No,Yes,No,No,No
56,Latia Sowood,lsowood1j@yellowbook.com,Female,Gainesville,Florida,86,609-05-6413,Hispanic or Latino,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
57,Micaela Coger,mcoger1k@berkeley.edu,Female,Gainesville,Florida,40,746-11-3904,Asian,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
58,Shari Puffett,spuffett1l@thetimes.co.uk,Female,Orlando,Florida,37,659-16-2546,Hispanic or Latino,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
