id,first_name,last_name,email,gender,ip_address,city,state,ssn,race,diabetes,asthma,depression,anxiety,migraines,arthritis,eczema,stroke,dementia,HIV
1,Isabeau,Brader,ibrader0@slate.com,Female,115.159.107.203,Lawrenceville,Georgia,593-40-8373,American Indian,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,Tracie,Claibourn,tclaibourn1@gravatar.com,Female,94.82.197.124,Fort Worth,Texas,873-19-7520,Ottawa,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
3,Sherwynd,Wayman,swayman2@webeden.co.uk,Male,104.193.16.83,Tulsa,Oklahoma,245-39-8874,Micronesian,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4,Conny,Jessen,cjessen3@themeforest.net,Male,204.248.69.225,Saint Paul,Minnesota,686-45-0722,South American,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5,Meir,Rozenzweig,mrozenzweig4@samsung.com,Male,88.39.184.13,Dallas,Texas,301-68-3545,Guatemalan,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
6,Edvard,Di Frisco,edifrisco5@imdb.com,Male,34.213.113.127,Saint Louis,Missouri,216-89-4052,Cree,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,Alick,Yansons,ayansons6@oaic.gov.au,Male,236.223.223.128,Wilmington,Delaware,537-56-3904,Yuman,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8,Sammy,Bern,sbern7@nbcnews.com,Male,243.78.30.49,Fort Worth,Texas,478-41-9622,Polynesian,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,Malvin,Turbayne,mturbayne8@newyorker.com,Male,109.30.159.83,Elizabeth,New Jersey,743-65-9033,Navajo,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
10,Addy,Pallasch,apallasch9@apple.com,Female,33.17.170.121,Boynton Beach,Florida,231-66-2762,Central American,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Adrian,Gulberg,agulberga@mozilla.com,Male,60.217.31.203,Saint Louis,Missouri,854-35-7802,Guatemalan,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Lexy,Rothschild,lrothschildb@studiopress.com,Female,165.223.217.202,Murfreesboro,Tennessee,370-34-5069,Dominican (Dominican Republic),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
13,Pegeen,Greathead,pgreatheadc@earthlink.net,Female,167.56.119.88,New York City,New York,667-43-3161,Venezuelan,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
14,Leoline,Gronaller,lgronallerd@4shared.com,Female,89.97.224.47,Midland,Michigan,472-49-6374,Guamanian,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Dori,Brodest,dbrodeste@shutterfly.com,Female,62.213.33.134,Washington,District of Columbia,691-72-9901,Bolivian,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Alexis,Tottman,atottmanf@japanpost.jp,Female,205.205.180.247,Saint Louis,Missouri,895-03-9840,Thai,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Cyndia,Pentland,cpentlandg@dagondesign.com,Female,21.103.185.65,High Point,North Carolina,437-20-9783,Chamorro,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Gwendolin,Duly,gdulyh@chronoengine.com,Female,91.39.202.196,Roanoke,Virginia,488-28-2388,Argentinian,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
19,Bartholomeus,Luberti,blubertii@tumblr.com,Male,222.177.131.111,New York City,New York,874-73-3780,Indonesian,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
20,Jade,Pinnick,jpinnickj@netlog.com,Female,191.11.211.159,Montgomery,Alabama,538-74-4867,Cheyenne,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
21,Winslow,Simm,wsimmk@cnet.com,Male,163.104.160.10,Peoria,Arizona,490-58-4974,Kiowa,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
22,Shelton,Kynman,skynmanl@webnode.com,Male,98.60.64.48,San Diego,California,198-08-5802,Puget Sound Salish,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
